vox_i#geo_i#vox_vec#geo_vec#vox_rad#geo_rad#geo_s.hr#sun_hit
0#10#[0.0, -0.0, -1.0]#[-0.707107, 0.57735, -0.408248]#288.9216952565805#481.0191877427305#1177#0.692
0#16#[0.0, -0.0, -1.0]#[0.0, -0.57735, -0.816497]#288.9216952565805#402.2006897035411#1278#0.615
0#17#[0.0, -0.0, -1.0]#[-0.0, -0.57735, -0.816497]#288.9216952565805#402.20069976344246#1278#0.615
0#18#[0.0, -0.0, -1.0]#[-0.0, -0.57735, -0.816497]#288.9216952565805#402.20063451465234#1278#0.615
0#19#[0.0, -0.0, -1.0]#[-0.0, -0.57735, -0.816497]#288.9216952565805#402.2006437824263#1278#0.615
0#20#[0.0, -0.0, -1.0]#[0.0, -0.57735, -0.816497]#288.9216952565805#402.2006417142215#1278#0.615
0#21#[0.0, -0.0, -1.0]#[-0.0, -0.57735, -0.816497]#288.9216952565805#402.20075208894116#1278#0.615
0#22#[0.0, -0.0, -1.0]#[-0.0, -0.57735, -0.816497]#288.9216952565805#402.20062159137944#1278#0.615
0#23#[0.0, -0.0, -1.0]#[-0.0, -0.57735, -0.816496]#288.9216952565805#402.20085916735076#1278#0.615
0#24#[0.0, -0.0, -1.0]#[0.0, -0.57735, -0.816497]#288.9216952565805#402.2006417142223#1278#0.615
0#25#[0.0, -0.0, -1.0]#[-0.0, -0.57735, -0.816497]#288.9216952565805#402.2006396429769#1278#0.615
0#26#[0.0, -0.0, -1.0]#[-0.0, -0.57735, -0.816497]#288.9216952565805#402.20073403735586#1278#0.615
0#27#[0.0, -0.0, -1.0]#[0.0, -0.57735, -0.816496]#288.9216952565805#402.20085503094083#1278#0.615
0#61#[0.0, -0.0, -1.0]#[0.707107, 0.57735, -0.408248]#288.9216952565805#462.74865090566885#1182#0.692
0#88#[0.0, -0.0, -1.0]#[0.632456, 0.258199, -0.730297]#288.9216952565805#46.169504502392854#0.5#1.0
0#90#[0.0, -0.0, -1.0]#[0.632455, 0.258199, -0.730297]#288.9216952565805#69.9102129837417#0.5#1.0
0#91#[0.0, -0.0, -1.0]#[0.632456, 0.258199, -0.730297]#288.9216952565805#102.95034054491643#0.5#1.0
0#93#[0.0, -0.0, -1.0]#[-0.632456, 0.258199, -0.730297]#288.9216952565805#48.27785599424784#0.5#1.0
0#94#[0.0, -0.0, -1.0]#[-0.632456, 0.258199, -0.730297]#288.9216952565805#102.99178634033481#0.5#1.0
