vox_i#geo_i#vox_vec#geo_vec#vox_rad#geo_rad#geo_s.hr#sun_hit
0#8#[0.0, -0.0, -1.0]#[-0.832442, 0.256236, -0.491308]#288.9216952565805#543.7126230639598#1385#0.615
0#10#[0.0, -0.0, -1.0]#[-0.832442, 0.256236, -0.491308]#288.9216952565805#543.7126583112494#1385#0.615
0#16#[0.0, -0.0, -1.0]#[0.149429, -0.75, -0.644338]#288.9216952565805#558.8373374423697#1877#0.615
0#17#[0.0, -0.0, -1.0]#[0.149429, -0.75, -0.644338]#288.9216952565805#558.8373330184393#1877#0.615
0#18#[0.0, -0.0, -1.0]#[0.149429, -0.75, -0.644338]#288.9216952565805#558.8372493671175#1877#0.615
0#19#[0.0, -0.0, -1.0]#[0.149429, -0.75, -0.644338]#288.9216952565805#558.8372736256559#1877#0.615
0#24#[0.0, -0.0, -1.0]#[0.149429, -0.75, -0.644338]#288.9216952565805#558.8373159588347#1877#0.615
0#26#[0.0, -0.0, -1.0]#[0.149429, -0.75, -0.644338]#288.9216952565805#558.837277383821#1877#0.538
0#60#[0.0, -0.0, -1.0]#[0.533583, 0.609789, -0.586042]#288.9216952565805#385.21105153482694#861#0.692
0#61#[0.0, -0.0, -1.0]#[0.533583, 0.609789, -0.586042]#288.9216952565805#385.2110469289572#861#0.692
0#62#[0.0, -0.0, -1.0]#[0.533583, 0.609789, -0.586042]#288.9216952565805#385.2110438964027#861#0.769
0#63#[0.0, -0.0, -1.0]#[0.533583, 0.609789, -0.586042]#288.9216952565805#385.2110551622287#861#0.769
0#69#[0.0, -0.0, -1.0]#[0.533584, 0.609789, -0.586042]#288.9216952565805#385.2110706836241#861#0.769
0#88#[0.0, -0.0, -1.0]#[0.544078, 0.210002, -0.812329]#288.9216952565805#29.313104268133184#0.5#1.0
0#89#[0.0, -0.0, -1.0]#[0.544078, 0.210002, -0.812329]#288.9216952565805#28.94548721851123#0.5#1.0
0#90#[0.0, -0.0, -1.0]#[0.544078, 0.210002, -0.812329]#288.9216952565805#65.92513500865542#104#0.923
0#91#[0.0, -0.0, -1.0]#[0.544078, 0.210002, -0.812329]#288.9216952565805#95.8536463778915#0.5#1.0
0#93#[0.0, -0.0, -1.0]#[-0.677732, -0.106226, -0.727596]#288.9216952565805#58.144547761237554#162#0.923
0#94#[0.0, -0.0, -1.0]#[-0.677732, -0.106226, -0.727596]#288.9216952565805#92.6035478445174#0.5#1.0
0#95#[0.0, -0.0, -1.0]#[-0.677732, -0.106226, -0.727596]#288.9216952565805#71.53705144030651#0.5#1.0
1#41#[0.0, -0.0, 1.0]#[0.832442, -0.256236, 0.491308]#1499.6471288144542#1320.721424727037#3051#0.231
1#43#[0.0, -0.0, 1.0]#[0.832442, -0.256236, 0.491308]#1499.6471288144542#1320.7212116154067#3051#0.231
1#48#[0.0, -0.0, 1.0]#[-0.149429, 0.75, 0.644338]#1499.6471288144542#699.9570529268068#2559#0.385
1#49#[0.0, -0.0, 1.0]#[-0.149429, 0.75, 0.644338]#1499.6471288144542#699.9571842626116#2559#0.308
1#50#[0.0, -0.0, 1.0]#[-0.149429, 0.75, 0.644338]#1499.6471288144542#699.9571297167965#2559#0.385
1#51#[0.0, -0.0, 1.0]#[-0.149429, 0.75, 0.644338]#1499.6471288144542#699.9572038350011#2559#0.308
1#53#[0.0, -0.0, 1.0]#[-0.149429, 0.75, 0.644338]#1499.6471288144542#699.9569450743146#2559#0.308
1#55#[0.0, -0.0, 1.0]#[-0.149429, 0.75, 0.644337]#1499.6471288144542#699.9570394184628#2559#0.308
1#73#[0.0, -0.0, 1.0]#[-0.533584, -0.609789, 0.586042]#1499.6471288144542#1644.584397149934#3575#0.154
1#76#[0.0, -0.0, 1.0]#[-0.533584, -0.609789, 0.586042]#1499.6471288144542#1644.5844388889018#3575#0.154
1#77#[0.0, -0.0, 1.0]#[-0.533583, -0.609789, 0.586042]#1499.6471288144542#1644.584489022484#3575#0.077
1#78#[0.0, -0.0, 1.0]#[-0.533584, -0.609789, 0.586042]#1499.6471288144542#1644.584335426866#3575#0.154
1#79#[0.0, -0.0, 1.0]#[-0.533583, -0.60979, 0.586042]#1499.6471288144542#1644.5846421770518#3575#0.077
1#96#[0.0, -0.0, 1.0]#[-0.544078, -0.210002, 0.812329]#1499.6471288144542#152.21070904111005#274#0.846
1#97#[0.0, -0.0, 1.0]#[-0.544078, -0.210002, 0.812329]#1499.6471288144542#177.48931655393275#0.5#1.0
1#98#[0.0, -0.0, 1.0]#[-0.544078, -0.210002, 0.812329]#1499.6471288144542#81.38317235401666#0.5#1.0
1#99#[0.0, -0.0, 1.0]#[-0.544078, -0.210002, 0.812329]#1499.6471288144542#140.0228316447767#273#0.846
1#100#[0.0, -0.0, 1.0]#[0.677732, 0.106226, 0.727596]#1499.6471288144542#119.64460117407563#0.5#1.0
1#101#[0.0, -0.0, 1.0]#[0.677732, 0.106226, 0.727596]#1499.6471288144542#86.28604875944649#0.5#1.0
1#103#[0.0, -0.0, 1.0]#[0.677732, 0.106226, 0.727596]#1499.6471288144542#106.69095527989094#244#0.923
2#20#[0.0, -1.0, 0.0]#[0.149429, -0.75, -0.644338]#1260.2222016236892#558.837244832628#1877#0.615
2#21#[0.0, -1.0, 0.0]#[0.149429, -0.75, -0.644338]#1260.2222016236892#558.8373549303509#1877#0.615
2#22#[0.0, -1.0, 0.0]#[0.149429, -0.75, -0.644338]#1260.2222016236892#558.8373404455525#1877#0.615
2#23#[0.0, -1.0, 0.0]#[0.149429, -0.75, -0.644337]#1260.2222016236892#558.8374395365355#1877#0.615
2#25#[0.0, -1.0, 0.0]#[0.149429, -0.75, -0.644338]#1260.2222016236892#558.8372431338897#1877#0.615
2#27#[0.0, -1.0, 0.0]#[0.149429, -0.75, -0.644337]#1260.2222016236892#558.8374947174715#1877#0.538
2#81#[0.0, -1.0, 0.0]#[-0.533583, -0.609789, 0.586042]#1260.2222016236892#1644.584444467294#3575#0.154
2#82#[0.0, -1.0, 0.0]#[-0.533583, -0.609789, 0.586042]#1260.2222016236892#1644.5843866318132#3575#0.154
