vox_i#geo_i#vox_vec#geo_vec#vox_rad#geo_rad#geo_s.hr#sun_hit
0#16#[0.0, -0.0, -1.0]#[-0.0, -0.816497, -0.57735]#288.9216952565805#628.5122788427128#2057#0.615
0#18#[0.0, -0.0, -1.0]#[-0.0, -0.816497, -0.57735]#288.9216952565805#628.5122532920827#2057#0.615
0#24#[0.0, -0.0, -1.0]#[-0.0, -0.816497, -0.57735]#288.9216952565805#628.5122506306894#2057#0.615
0#26#[0.0, -0.0, -1.0]#[-0.0, -0.816497, -0.57735]#288.9216952565805#628.512205889749#2057#0.615
0#57#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.92147655414016#425#0.769
0#59#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.92148676449165#425#0.846
0#60#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.9214859153719#425#0.769
0#61#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.9214867135544#425#0.769
0#62#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.9214790757913#425#0.846
0#63#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.92147995777805#425#0.846
0#65#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.92148608132777#425#0.769
0#67#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.92147011644107#425#0.769
0#68#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.9214866598098#425#0.769
0#69#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.9214762174918#425#0.769
0#70#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.92146000652156#425#0.769
0#71#[0.0, -0.0, -1.0]#[-0.258819, 0.557678, -0.788675]#288.9216952565805#325.92147632407017#425#0.769
0#88#[0.0, -0.0, -1.0]#[-0.231495, 0.133654, -0.963611]#288.9216952565805#29.354372349365033#0.5#1.0
0#89#[0.0, -0.0, -1.0]#[-0.231495, 0.133654, -0.963611]#288.9216952565805#26.916603682628633#43#1.0
0#90#[0.0, -0.0, -1.0]#[-0.231495, 0.133654, -0.963611]#288.9216952565805#62.01644254056792#0.5#1.0
0#91#[0.0, -0.0, -1.0]#[-0.231495, 0.133654, -0.963611]#288.9216952565805#94.59191899506686#0.5#1.0
1#49#[0.0, -0.0, 1.0]#[0.0, 0.816497, 0.57735]#1499.6471288144542#624.3495448573293#2379#0.385
1#51#[0.0, -0.0, 1.0]#[0.0, 0.816497, 0.57735]#1499.6471288144542#624.3497259319414#2379#0.385
1#53#[0.0, -0.0, 1.0]#[-0.0, 0.816496, 0.57735]#1499.6471288144542#624.3498057505981#2379#0.385
1#55#[0.0, -0.0, 1.0]#[0.0, 0.816496, 0.57735]#1499.6471288144542#624.3497251353589#2379#0.385
1#72#[0.0, -0.0, 1.0]#[0.258819, -0.557677, 0.788675]#1499.6471288144542#1749.0968703507235#4011#0.077
1#73#[0.0, -0.0, 1.0]#[0.258819, -0.557677, 0.788675]#1499.6471288144542#1749.0968833144004#4011#0.077
1#74#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.0968955416706#4011#0.077
1#75#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.0968855831704#4011#0.077
1#76#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.0969027226456#4011#0.077
1#77#[0.0, -0.0, 1.0]#[0.258819, -0.557677, 0.788675]#1499.6471288144542#1749.0969014119726#4011#0.077
1#78#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.0969051188083#4011#0.077
1#79#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.0968119170368#4011#0.077
1#80#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.0969001511517#4011#0.077
1#81#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.096903606832#4011#0.077
1#84#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.096813383115#4011#0.077
1#85#[0.0, -0.0, 1.0]#[0.258819, -0.557678, 0.788675]#1499.6471288144542#1749.0969102354636#4011#0.077
1#96#[0.0, -0.0, 1.0]#[0.231495, -0.133654, 0.963611]#1499.6471288144542#103.72749445695312#0.5#1.0
1#97#[0.0, -0.0, 1.0]#[0.231495, -0.133654, 0.963611]#1499.6471288144542#124.01682933621403#0.5#1.0
1#98#[0.0, -0.0, 1.0]#[0.231495, -0.133654, 0.963611]#1499.6471288144542#155.08794911286688#355#0.846
